company,hq_city,state,region,sector,priority,initial_thesis
Qualcomm,San Diego,CA,San Diego,Semiconductors,1,"Massive embedded/firmware codebase across chipsets and modems. Nvidia analogue. CIO publicly discussing agentic workflows and token spend (Fortune, July 2026)."
DaVita,Denver,CO,Denver,Healthcare,1,"Live req: Sr Director of Transformation leading multi-year migration of legacy revenue-cycle apps to GCP. Funded, sponsored, scoped in public."
ResMed,San Diego,CA,San Diego,Connected medical devices,1,"Live reqs asking for engineers to build agentic AI workflows that are traceable/auditable in regulated environments. Bayer analogue."
Western Union,Denver,CO,Denver,Payments,2,"AS/400 mainframe publicly acknowledged. HCLTech AI-led platform partnership (Mar 2025). Qualify whether SI owns the tooling budget."
LPL Financial,San Diego,CA,San Diego,Wealth management,2,"Has a CIO whose remit is literally platform modernization. ~$470-500M/yr tech spend. Watch-out: Hyderabad GCC is the competing solution."
Empower,Greenwood Village,CO,Denver,Retirement services,2,"Serial acquirer: Great-West, JPM, Putnam, MassMutual, SunTrust, Fifth Third, Prudential. Legacy thesis is INFERRED from M&A history, not admitted."
General Atomics,San Diego,CA,San Diego,Defense / UAV,3,"UAV flight software, classified, air-gapped. Governance story is the pitch. Private - expect long cycle, little public data."
EchoStar / DISH,Englewood,CO,Denver,Satellite & wireless,3,"Satellite legacy plus from-scratch 5G build. Public cost pressure is the budget argument."
CSG Systems,Englewood,CO,Denver,Telecom billing software,3,"Sells billing/BSS to carriers - codebase is old by necessity and cannot break. MongoDB analogue."
Viasat,Carlsbad,CA,San Diego,Satellite comms,3,"Ground systems, network stack, inherited Inmarsat codebase post-acquisition. Defense + commercial."
Illumina,San Diego,CA,San Diego,Genomics,3,"Instrument firmware plus bioinformatics pipelines. FDA-regulated. Bayer analogue."
Trimble,Westminster,CO,Denver,Geospatial software,3,"Years of acquired products (B2W, Transporeon) = inherited codebases needing consolidation."
Liberty Global,Englewood,CO,Denver,Telecom / broadband,4,"OSS/BSS across many acquired national operators. Integration sprawl is the company."
Teradata,San Diego,CA,San Diego,Data platform,4,"Enterprise data platform with a genuinely old core (founded 1979). Software co with its own legacy problem."
Dexcom,San Diego,CA,San Diego,Medical devices,4,"CGM firmware plus mobile apps. FDA-regulated, fast cadence against safety-critical constraints."
Arrow Electronics,Centennial,CO,Denver,Electronics distribution,4,"ERP and supply-chain integration sprawl across 80 countries. Unglamorous, large, real."
Maxar / Vantor,Westminster,CO,Denver,Geospatial / defense,4,"Satellite imagery for defense/intel. Classified, air-gapped, certified."
Kratos Defense,San Diego,CA,San Diego,Defense technology,4,"Drones, satellite ground systems, C5ISR. Smaller, faster version of the General Atomics motion."
Sempra / SDG&E,San Diego,CA,San Diego,Utility,5,"SCADA, metering, outage management. Ancient, safety-critical, heavily regulated."
Zayo Group,Denver,CO,Denver,Fiber infrastructure,5,"PE-owned, network provisioning built through serial acquisition. Cost discipline = ROI story lands."
